,,10470,10570,10670,10870,10970,11070,11470,11570,11670,11770,11870,11970,20370,20470,20570,20670,20870,20970,21070,21570,21670,21870,21970,30470,30570,30670,30870,30970,31070,31170,31670,31870,31970
,, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalIng, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalSE, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar, CalVar
,, NO, NO2, NOX, CO, O3, PM2.5, PM2.5, PM2.5S, ET, RH, WS, WD, SO2, NO, NO2, NOX, CO, O3, PM2.5, ET, RH, WS, WD, NO, NO2, NOX, CO, O3, PM2.5, PM2.5S, RH, WS, WD
,, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave, Ave
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC,BC
1,01/01/2023 0:00,0.15478,0.04829,0.20307,1.599,0.00132,MS,MS,28.42,-4.162,99.947,0.275,140.064,0.00024,0.01249,0.03468,0.04717,0.489,0.00533,20.672,-3.839,76.064,4.291,250.43,6.544,30.58,37.11,0.403,8.128,MS,12.769,68.238,5.341,322.137
2,01/01/2023 1:00,0.15222,0.04595,0.19817,1.618,0.00091,MS,MS,28.342,-4.37,99.828,0.304,324.99,0.00025,0.01014,0.03701,0.04715,0.478,0.0029,17.441,-3.764,74.813,5.176,269.088,0.47,20.515,20.971,0.242,15.506,MS,4.363,65.151,6.57,298.177
3,01/01/2023 2:00,0.10736,0.04348,0.15084,1.114,0.00109,MS,MS,27.075,-4.471,99.81,0.521,219.884,Z,Z,Z,Z,Z,Z,13.813,-3.387,74.196,5.672,254.656,0.486,22.218,22.687,0.214,15.187,MS,3.431,63.576,5.631,300.717
4,01/01/2023 3:00,0.08525,0.04049,0.12573,0.915,0.00063,MS,MS,21.228,-4.108,99.871,1.006,32.104,0.00044,0.01896,0.03656,0.05559,0.401,0.00309,9.756,-3.747,81.263,2.835,73.747,0.547,22.922,23.451,0.21,15.204,MS,2.014,64.104,4.544,302.386
5,01/01/2023 4:00,Z,Z,Z,Z,Z,MS,MS,19.188,-4.034,99.949,2.087,239.421,0.00067,0.05409,0.04454,0.09862,0.556,0.00142,12.585,-3.836,89.348,1.92,268.4,Z,Z,Z,Z,Z,MS,1.533,64.015,1.76,309.399
